tweet_id,tweet,label,role
107688644067856384,"@bellathorne143 i herd that you got bullied when you was 6 years old and i feel bad,are you ok",y,defender
102206417217392640,"Bullying: O gesto mais idiota, estúpido e irracional que um ser humano pode praticar.",n,NA
102779484725448704,The Bully at School Goes High Tech – Part 1: The Section of State and Local Government Law of the Am... http://t.co/DGWXoKd #slaw #law,n,NA
108676972149874688,Esse @Felipemath  fazendo bullying comigo! Haha,n,NA
106590106873372672,AUISHUAHS eu e o @wallace_mancha tiramos o dia pra praticar bullying com a @helove_,n,NA
109034091743154176,"@Looweihao @haoyangg @sleepybed Hello, since when i got bully people? Never physically you know! :( Criminal is not supposed to be me..",n,NA
102533497637437441,For those keeping score at home- cousin who just had massive heart-attack is trying to bully the doctors into letting her out one day early.,y,reporter
103679008855691264,"BETTER ANTI-BULLYING AD SLOGANS: Hey, Bullies. Since it HAS to be you our us, we'll send flowers",n,NA
105202476927549441,@luttylutz bahh lo kaga demen dia juga? Gue kira pada demen si jiejie SQ itu -_- ayo trus kita bully (?) Bahahahaha,n,NA
107278521805713408,cara3: bully iam gara2 uda di ucpin tpi gk bls,n,NA
107478741424414720,http://t.co/nbBZDxf Please help to stop workplace bullying,n,NA
103471384973418497,"@lucy_robbo yes on thur, she said she might, we'll bully in revs. I dunno I have no friends hahaha",n,NA
106840582453870592,@bbuk @brianofficial bobby needs threw out that is disgusting #sweatgate #bully,n,NA
101324602789208064,don't you get it? This is me getting rid of you. Hahaha #BULLY,y,reporter
105799405784936448,Não é bullying se eu jogar um tijolo na sua cara e fingir que estava brincando de pedreiro. http://t.co/qlZdxUJ,n,NA
103502694634889216,@BillyBlancO_ @DjLBully nigga used to be a real herbalist bully idk wham ah deal with,n,NA
101884602586636288,"theres going to be bullys and ignorant people out there thats goi to spread lies about u or bully u,well DONT let it get u down",n,NA
105464272934551552,"@_MacaAlejandra @xsiempreJcyFer @camiiHidalgo_ Oigan , me Siento discriminada :'c me hacen Bulling aaaag* Las Denunciare xd",n,NA
101821613984591873,"pois agora é crime! Sacanear Palmeirense é Bullying,",n,NA
106150056868061184,"If I'm not happy with my classes this week, I'm gonna take the role as a bully and be an asshole. Watch out lower-classmen. It will be ugly.",n,NA
106449969682198528,"Suposta vítima de bullying, estudante pula do primeiro andar de colégio particular em Natal http://t.co/q9bRVJ3 via @UOLNoticias",n,NA
108121046191841281,"Tusuk tikam jejak! Bwahaha ""@Christ_Yosh10: @selviore duh jngan d tanya pan.. Mengundang kreatifitas dy untuk mem'bully itu mah.. &gt;&lt;""",n,NA
108219316192817152,"In high school, it's bullying. But in a professional setting, it's harassment.",n,NA
101405526843338754,"vira pro chefe e diz que o colega tá fazendo bullying com você. ouve a resposta: 'ótimo, vou dar um aumento pra ele!'",n,NA
103925126613045250,@JJS1994_ stop bullying me,y,victim
108154819906240512,News from PrayerThatHeals.org - A spiritual defense against bullying http://t.co/wkmbwMA #constantcontact,n,NA
108340745324335104,Damm I think I'm slick bully this dude always offering shit to avoid me for roasting his ass LoL,y,bully
102903555840675840,@chelseabieber95 duuuuude. cyber bully much? I just read some of the tweets. how did it even start,y,reporter
103942171870248960,#gymflow as my sister just showed off her push to start kia! Def gonna have to get something new soon! Or just bully hers,n,NA
104940761937743874,@samGarvaux  Mostly I agree with @Shoq.  Having strong opinions does not make one a bully. Just passionate.,n,NA
106148664052953088,【自動post】BULLY（いじめ）とSUICIDE（自殺）で、BULLYCIDE（いじめ自殺）。もっとも、自殺するのは憎い相手を殺した後。死なばもろとも…ってところかしら,n,NA
100689407677440000,"WED at 8pm on #LETITBEKNOWNLIVERADIO our Discussion ""Violence among the YOUTH PT 2..... Bullying, Gang Violenc… (cont) http://deck.ly/~ZN88q",n,NA
101677159214612480,Stop Bullying Ppl Old America,n,NA
104295456787533824,Georgetown got there asses kicked but china.. Bull got cleaned up with a chair,n,NA
107231309449015297,ignorar a pessoa no msn é bullying,n,NA
100994011858354176,Three bully vans just went past Candace's Lewisham riots are starting again lordddddd,n,NA
101508504812138496,"@rizky_yulianisa @bobyandika I can only wish the way you guys express isn't by bullying, but I really can't be picky right now. *hugs*",y,accuser
102196835317325825,"@littlecbeadles Stop Bullying !!! I LOVE YOU SO MUCH,FOLLOW ME PLASE? #yesIcan 59",y,reporter
104172001232568320,Rebecca Black abandona escola após sofrer bullying http://t.co/l0XJuvV,n,NA
104199536133668864,"@ninjacodemonkey totally.  on one hand the retaliatory nature is pissy, on the other is great to see that bully-stick smackdown.",n,NA
105266785045069825,Heiii odah @faannn bsk ak g msk yah.. Jagain suheri yah.. Jgn smp si ijah @opiesiraru kalap buat bully suheri,n,NA
107852102461693953,"This is actually bullying , I want Wenger to watch this and fucking hold every piece of criticism that comes ! #RAGE",y,reporter
106005555323211776,ya'apa-ya'apa? pilih bully ato L4D? hahaha @ramadhansetiadi @ItsGeryNotJerry,n,NA
100335301150507008,@katie_ogden @boybandslut @StephWall27 @BAMitsSHAZ @xstephhh_ I was not bullying her! She's trying to steal Jean Martyn from meee! :'( xx,y,bully
100254756332769280,"Paula, Kiersten and LJ's song about bullying. Great job! (Uploading more videos now.) http://fb.me/ASIm1gw1",n,NA
101885152921260033,"Tipo assim, eu ainda não joguei esse The Sims, vou sofrer bullying por isso?",n,NA
102224132967636992,"bullying da twitcan com a @jvdias_ e @nandaduartesa, acho palho sás coisas",n,NA
108765481514708992,"@Underwalt @MsShandraRae @kateplusmy8 mr. walt, stop being a bully.",y,accuser
100976790876602368,http://t.co/XHtRPSc @planetjedward anti-bullying campaign,n,NA
101528917592125440,#confiesoque sufro de bulling en mi escuela,n,NA
104826899435491328,Follow-Up to ' Signs Your Child Might Be Getting Bullied' #moms #dads http://t.co/vsfXkHD #parenting #kids,n,NA
106626680055013376,"emosi tingkat dewa, parah. puasa2 adaa aja ya yg nge bully-_-",n,NA
108042149437779970,"i SWEAR I HAVE THE SWEETEST BOO IN THE WORLD, WHEN WE NOT BULLYING ME &lt;3",y,victim
101393229194346496,Rebecca Black deixa escola por bullying: 'Eles me imitavam com uma voz nasalada' ~&gt; NEM SEI POR ONDE COMEÇA A PIADA HAHHAHAHA,n,NA
103158825590329344,I entered an AMZN 175/165 bull put spread for September. I am looking for 195 to go further long calls.,n,NA
102150864604643328,"orkut sofrendo um puta bullying do facebook, processa ele.",n,NA
104028556509716480,@TrickyStewart Hey!(: We Are Beliebers!(: Can YouTell BIEBER To Tweet Us!(: My Friend Has Been Bullied And Needs Cheered Up!XD,y,defender
106123105822449664,@Lariissa_pavao VOCÊ FEZ BULLYING! KKKKKKKKKKKKKKKK,n,NA
106302927731294208,"@tanjayabella hahahahaha.. Sem 1 gak ad emgnya?wkwk..pgen bully"" lo..wkwk",n,NA
108467495408635904,Lucuuuu.. BeaTweet @Salvminerva: Kartun yg di MNC TV apa dah... Kocak amat kadal gurun di bully ama musang... :)),n,NA
102456954470932481,@NadiraGandhi rip wat r u threatenin me on tha web u bully,n,NA
104390195901759488,@Nilton_Prensa @natygondiaz a mierd!!!!! jajajaja // jajajaja nos hacemos bullying mutuamente,n,NA
104763342576562176,"@YungPaidBlessed , He Used To Bully Yall In The Bathroom , Ll",y,accuser
106037183856648192,"É verdade isso??  ""@bentoherculano: Criança de 13 anos acaba de suicidar-se no Marista em Natal,vítima de bullying...",n,NA
108966853661032448,I favorited a @YouTube video http://t.co/gwAHqri Bully Cat Stuffs Cat In Box,n,NA
102513594234699776,"@vivjones10 haha! They're actually pictures from an anti-bullying campaign, blessem",n,NA
105988452310462464,Join Elise in one hour at her new time.  Todays topic #Cyberbullying vs #Bullying for kids on the spectrum #Autism #ASD  #tck,n,NA
108160516131799040,@Mkaygreene is a bully,y,reporter
109032023129210880,aposto que vou sofrer bullying depois do meu próximo tweet,n,NA
108149010929434624,cesser l'intimidation - stop bullying.,n,NA
108549768187351041,"i think teuk went to hit someone because someone was bullying donghae? then when they went back, manager-hyun… (cont) http://t.co/9OtXplM",n,NA
101373421002305536,agora qualquer coisa é bullying respirar é bullying viver é bullying acordar é bullying falar a verdade é bullying,n,NA
100075342470979584,"Photoset: › “…he’s sensitive, people bully him, too, and he feels lonely and hasn’t got anybody to talk to,... http://tumblr.com/xxv3y1zfg7",n,NA
100348064140754944,Documentary about bullying of gays showing at Newbury Park community forum Aug 19th http://bit.ly/qODBSo,n,NA
105790821579751427,"Não é bullying se eu bater na pessoa que não para de cantar a aula inteira, né @susana_rsb !? HAHAHAHA",n,NA
105946088254619648,@Rannnny_x bully!,y,accuser
108322149097410560,@marcellaandion bullying! vdd! =P,n,NA
108658709189754881,"Also, wishing Nick would die from diabetes? THAT'S LOW. And then you claim to be against bullying.. Yeah right!",n,NA
105992776746942464,http://t.co/XzO00sm Stand Up Day (stand up to bullying November 14),n,NA
106800732031815680,America;the bully.,n,NA
107988354901090304,ê caramba n vao deixar a Jessie J cantar mesmo ? Af bullying,n,NA
108958421558112256,I liked a @YouTube video http://t.co/JSrbRSp Bully Cat Stuffs Cat In Box,n,NA
103053755540447232,"My 6 yo son is being bullied. It's really hard to know what to do. I'm shocked that it happens this early, this young. #canofbullies",y,reporter
106027940524998656,#SleepnSync: Make sure that your child is being bullied and not just bothered in a non-recurring way. #Bullying http://ow.ly/6ajMN,n,NA
102433486769627136,@thatcountenance @Lweiting she bully me :(,y,victim
104757138236256256,"U all should whatch this video about bullying, and help take apart in ending it http://t.co/XVsagvI @bellathorne143",n,NA
108734297799794688,[110830/TRANS] Strong Heart - Donghae Being Bullied - vampiremochi: Awwww… Teukie hyung~~~ poor nano ~~~... http://t.co/JIAjHWj,n,NA
100124868628066304,@LordFIMM @bentleysbird @candida6 I unfollowed AvonSpurs a few days ago as believe he's  a cyber bully & a complete cock. I stand by it.,y,reporter
101350546191028225,@bullysteria @HellsofHidden  Me encantó el video! Me encantó! Aaaaah! Ya les dije que me encantó!?!?! Una vez mas gracias Bully!,n,NA
101658757964103680,@JusLick_Kay Quit Bullying Them,y,defender
103257266811187200,"Then I thought he bullied me because he loved me, but he prooved I was wrong , one more time.",y,victim
104181309462683649,@jessiejofficial Whos Laughing Now Is A Great Song The Words Describe Me I Always Get Bullied @ Skool Just Like u Was Follow And Tweet Me? 1,y,victim
104767952636755968,bullying em otaku feliz é o mais divertido,n,NA
108765071395655680,"This year's bully target : the shah rukh khan wannabe, @DikFerr muahahaha http://t.co/oWwfWvy",n,NA
100279498263638016,@Waterfalls_Mh bully,n,NA
101490713405038592,@randvalentine seriously lol how ppl tryna bully there ?? Takin lunch money or what,n,NA
104240118818291712,"@ryanbyrd @arkychicky maybe ""bullying"" is a better word than ""internet rape""?",n,NA
104678160460820480,@izasrta então era mentira KKKKKKKKKKKKKKKKKKKK to cometendo bullying com a Aline nóiz é criminoso,n,NA
